fecha,temperatura,humedad,presion_atmosferica,velocidad_media_viento,rafaga_maxima_viento,direccion_media_viento,lluvia,intensidad_lluvia,radiacion_solar,evapotranspiracion,indice_uv,dispositivo,_id
2025-02-05 00:00:00,25.1,80.6,1014.7,0.1,,,0.0,0.0,0.0,,0.0,USO,67a397225ba8e3579c4415f6
2025-02-05 01:00:00,24.2,83.3,1014.3,0.1,,,0.0,0.0,0.0,,0.0,USO,67a397225ba8e3579c4415f7
2025-02-05 02:00:00,23.6,84.8,1014.0,0.1,,,0.0,0.0,0.0,,0.0,USO,67a397225ba8e3579c4415f8
2025-02-05 03:00:00,22.4,96.8,1013.6,0.1,,,0.0,0.0,0.0,,0.0,USO,67a397225ba8e3579c4415f9
2025-02-05 04:00:00,22.3,96.8,1013.9,0.0,,,0.0,0.0,0.0,,0.0,USO,67a397225ba8e3579c4415fa
2025-02-05 05:00:00,21.9,97.8,1014.0,0.4,,,0.0,0.0,0.0,,0.0,USO,67a397225ba8e3579c4415fb
2025-02-05 06:00:00,22.4,92.8,1014.5,0.2,,,0.0,0.0,7.8,,0.0,USO,67a397225ba8e3579c4415fc
2025-02-05 07:00:00,24.3,79.4,1015.2,0.6,,,0.0,0.0,39.8,,0.2,USO,67a397225ba8e3579c4415fd
2025-02-05 08:00:00,28.2,62.5,1015.6,0.5,,,0.0,0.0,205.4,,1.8,USO,67a397225ba8e3579c4415fe
2025-02-05 09:00:00,30.6,53.4,1015.4,0.5,,,0.0,0.0,426.4,,3.8,USO,67a397225ba8e3579c4415ff
2025-02-05 10:00:00,33.6,41.5,1014.8,0.2,,,0.0,0.0,631.5,,6.0,USO,67a397225ba8e3579c441600
